Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744,37.31205037,39.36299738,41.41379464,58.0,61.0,64.0,
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,8.3,10.4,
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.70137191,94.64,96.5,96.97,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.002110210555948287,0.023377660765471306,0.14024628856059648,0.3674374555683134,0.5873418026124594,1.0688124582599277,1.7919232099325446,3.5151990383204583,4.967280248485466,7.053821236047018,10.238829996877744,18.255475929868876,22.593121099384025,29.24634068611936,34.7508894916645,40.800608818967845,45.28417402716436,50.686528817185646,55.098620760139376,58.59131296511847,59.11034673253224,61.716341510482366,63.46399044610397,66.483392613176,67.35117029224021,71.3419807922689,73.40956730988795,75.98213727193827,78.72948708111096,81.77477558728698,
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34.0,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695,94.2,
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45.0,52.24960729,55.05,58.0,61.11,76.62959195,83.55858602,82.32748693,84.9,86.1,88.3,
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16.0,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.10983774,70.40477542,
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,16.7,25.3,34.8,37.54653613,36.28895457,,
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21487223,18.3,20.6,23.20297197,29.7,33.5,37.8,
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3.0,3.799999507,6.20997406,8.619904916,11.7,12.5,13.6,
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5.0,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,8.65,,,,
